vehicle_id,temperature,humidity,accel_magnitude,label,anomaly_type,anomaly_reason
Transport-1,24.26,55.62,1.497,NORMAL,,
Transport-2,12.34,32.03,2.165,NORMAL,,
Transport-1,20.62,30.72,2.425,NORMAL,,
Transport-2,16.37,35.45,0.55,NORMAL,,
Transport-1,17.87,45.12,0.728,NORMAL,,
Transport-2,12.09,40.23,0.916,NORMAL,,
Transport-1,21.78,36.99,1.286,NORMAL,,
Transport-2,10.7,51.26,0.426,NORMAL,,
Transport-1,24.23,63.8,2.021,NORMAL,,
Transport-2,11.47,53.95,1.1,NORMAL,,
Transport-1,17.43,31.2,2.273,NORMAL,,
Transport-2,19.94,40.91,1.3,NORMAL,,
Transport-1,12.77,63.94,1.938,NORMAL,,
Transport-2,33.69,45.98,1.844,NORMAL,,
Transport-1,12.94,31.58,0.813,NORMAL,,
Transport-2,14.07,59.01,0.892,NORMAL,,
Transport-1,18.14,34.93,2.005,NORMAL,,
Transport-2,24.8,57.03,0.497,NORMAL,,
Transport-1,22.23,54.74,1.823,NORMAL,,
Transport-2,12.22,40.75,0.348,NORMAL,,
Transport-1,17.4,43.31,0.127,NORMAL,,
Transport-2,14.88,55.54,1.594,NORMAL,,
Transport-1,8.33,41.2,1.426,NORMAL,,
Transport-2,26.84,53.13,1.481,NORMAL,,
Transport-1,16.41,30.89,0.27,NORMAL,,
Transport-2,19.55,41.0,1.271,NORMAL,,
Transport-1,-5.04,44.1,1.511,NORMAL,,
Transport-2,11.15,40.14,0.403,NORMAL,,
Transport-1,28.49,46.33,1.743,NORMAL,,
Transport-2,15.6,56.78,1.618,NORMAL,,
Transport-1,36.88,39.54,0.33,NORMAL,,
Transport-2,16.41,58.63,2.152,NORMAL,,
Transport-1,17.66,44.61,0.555,NORMAL,,
Transport-2,15.06,63.0,0.808,NORMAL,,
Transport-1,20.55,42.73,2.429,NORMAL,,
Transport-2,-4.89,44.97,0.602,NORMAL,,
Transport-1,10.55,51.33,1.257,NORMAL,,
Transport-2,14.18,61.79,0.599,NORMAL,,
Transport-1,17.34,64.5,0.605,NORMAL,,
Transport-2,32.85,37.13,2.185,NORMAL,,
Transport-1,19.48,52.17,1.339,NORMAL,,
Transport-2,22.53,41.23,0.466,NORMAL,,
Transport-1,18.86,53.71,0.041,NORMAL,,
Transport-2,13.4,52.58,0.436,NORMAL,,
Transport-1,21.6,58.1,0.413,NORMAL,,
Transport-2,11.7,62.36,2.193,NORMAL,,
Transport-1,19.9,58.6,1.388,NORMAL,,
Transport-2,13.63,33.26,2.243,NORMAL,,
Transport-1,17.99,43.39,0.698,NORMAL,,
Transport-2,36.91,56.61,2.34,NORMAL,,
Transport-1,11.26,35.66,2.246,NORMAL,,
Transport-2,10.14,33.55,1.659,NORMAL,,
Transport-1,12.41,49.21,1.73,NORMAL,,
Transport-2,16.73,51.37,0.712,NORMAL,,
